
2022/10/15 (01:00:18) | ===> btop++ v.1.2.12
2022/10/15 (01:00:18) | WARNING: Failed to join _runner thread on exit!

2022/12/28 (15:49:38) | ===> btop++ v.1.2.13
2022/12/28 (15:49:38) | ERROR: Stall in Runner thread, restarting!
2022/12/28 (15:49:52) | ERROR: Stall in Runner thread, restarting!
2022/12/28 (15:50:30) | ERROR: Stall in Runner thread, restarting!
2022/12/28 (15:51:03) | ERROR: Stall in Runner thread, restarting!
2022/12/28 (15:53:06) | ERROR: Stall in Runner thread, restarting!
2022/12/28 (15:53:38) | ERROR: Stall in Runner thread, restarting!

2022/12/28 (18:06:04) | ===> btop++ v.1.2.13
2022/12/28 (18:06:04) | WARNING: Failed to join _runner thread on exit!

2022/12/30 (15:22:57) | ===> btop++ v.1.2.13
2022/12/30 (15:22:57) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/01 (09:46:58) | ===> btop++ v.1.4.0
2024/10/01 (09:46:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (10:11:21) | ===> btop++ v.1.4.0
2024/10/02 (10:11:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (12:55:51) | ===> btop++ v.1.4.0
2024/10/02 (12:55:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (13:53:19) | ===> btop++ v.1.4.0
2024/10/14 (13:53:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (16:21:05) | ===> btop++ v.1.4.0
2024/10/15 (16:21:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (17:55:25) | ===> btop++ v.1.4.0
2024/11/03 (17:55:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (07:49:24) | ===> btop++ v.1.4.0
2024/11/06 (07:49:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (07:24:49) | ===> btop++ v.1.4.0
2024/11/07 (07:24:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (09:13:17) | ===> btop++ v.1.4.0
2024/11/07 (09:13:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (10:10:37) | ===> btop++ v.1.4.0
2024/11/07 (10:10:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (08:20:11) | ===> btop++ v.1.4.0
2024/11/11 (08:20:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (07:44:38) | ===> btop++ v.1.4.0
2024/11/14 (07:44:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (15:42:44) | ===> btop++ v.1.4.0
2024/11/20 (15:42:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (09:13:40) | ===> btop++ v.1.4.0
2024/11/22 (09:13:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (18:17:37) | ===> btop++ v.1.4.0
2024/11/23 (18:17:37) | WARNING: Intel GPU: Failed to initialize PMU
